company_name,total_since_2011,total_since_2017,total_since_2022,total_since_2025,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,link
Southern Company Gas,1755000.0,1177500.0,377500.0,85000.0,45000.0,45000.0,45000.0,45000.0,45000.0,160000.0,122500.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,122500.0,85000.0,85000.0,85000.0,
Verizon,1740000.0,1102500.0,640000.0,160000.0,85000.0,85000.0,122500.0,85000.0,97500.0,150000.0,117500.0,65000.0,85000.0,85000.0,85000.0,85000.0,122500.0,160000.0,160000.0,160000.0,160000.0,
Aarp,1715000.0,1035000.0,150000.0,65000.0,150000.0,150000.0,70000.0,20000.0,85000.0,85000.0,210000.0,210000.0,210000.0,285000.0,202500.0,167500.0,20000.0,20000.0,32500.0,32500.0,65000.0,
Delta Dental,1700000.0,1440000.0,640000.0,160000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,
Tennessee911,1697500.0,1357500.0,640000.0,160000.0,0.0,0.0,0.0,0.0,85000.0,85000.0,85000.0,85000.0,122500.0,160000.0,122500.0,102500.0,210000.0,160000.0,160000.0,160000.0,160000.0,
Service Employees International Union,1697500.0,795000.0,160000.0,0.0,0.0,0.0,102500.0,160000.0,160000.0,160000.0,160000.0,160000.0,122500.0,32500.0,160000.0,160000.0,160000.0,160000.0,0.0,0.0,0.0,
Tennessee County Commissioners Association,1687500.0,1102500.0,490000.0,122500.0,110000.0,130000.0,130000.0,130000.0,130000.0,0.0,97500.0,97500.0,97500.0,122500.0,135000.0,122500.0,135000.0,122500.0,122500.0,122500.0,122500.0,
Oak Ridge National Lab,1685000.0,1027500.0,340000.0,85000.0,45000.0,45000.0,45000.0,85000.0,122500.0,85000.0,160000.0,160000.0,160000.0,160000.0,160000.0,122500.0,85000.0,85000.0,85000.0,85000.0,85000.0,https://www.ut-battelle.org/
Tennessee Association Of Assessing Officers,1667500.0,1027500.0,340000.0,85000.0,0.0,0.0,0.0,0.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,122500.0,85000.0,85000.0,85000.0,85000.0,85000.0,
Tennessee Distillers Guild,1662500.0,1465000.0,860000.0,380000.0,0.0,0.0,0.0,0.0,0.0,10000.0,102500.0,85000.0,85000.0,172500.0,102500.0,122500.0,122500.0,160000.0,160000.0,160000.0,380000.0,
Permobil,1650000.0,1640000.0,780000.0,0.0,20000.0,20000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,260000.0,260000.0,260000.0,260000.0,310000.0,210000.0,0.0,
Tennessee Credit Union League,1645000.0,880000.0,380000.0,102500.0,205000.0,205000.0,147500.0,147500.0,70000.0,110000.0,225000.0,65000.0,85000.0,85000.0,122500.0,85000.0,122500.0,52500.0,122500.0,102500.0,102500.0,
Tennessee Association of Professional Bail Agents,1640000.0,872500.0,447500.0,192500.0,85000.0,122500.0,122500.0,122500.0,192500.0,85000.0,122500.0,122500.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,192500.0,
Tennesseans for Student Success,1625000.0,1327500.0,640000.0,160000.0,0.0,0.0,0.0,0.0,0.0,10000.0,202500.0,85000.0,85000.0,122500.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,
Tennessee Group Practice Coalition,1612500.0,802500.0,377500.0,122500.0,122500.0,122500.0,160000.0,160000.0,122500.0,160000.0,122500.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,122500.0,
K12 Inc,1610000.0,990000.0,527500.0,122500.0,85000.0,85000.0,102500.0,85000.0,122500.0,85000.0,102500.0,122500.0,122500.0,85000.0,85000.0,85000.0,85000.0,85000.0,160000.0,160000.0,122500.0,
Anheuser-Busch,1567500.0,802500.0,340000.0,85000.0,160000.0,160000.0,160000.0,160000.0,85000.0,65000.0,172500.0,122500.0,122500.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,
Tennessee Association of Nurse Anesthetists,1545000.0,985000.0,522500.0,230000.0,45000.0,45000.0,97500.0,117500.0,85000.0,65000.0,97500.0,97500.0,97500.0,97500.0,97500.0,85000.0,85000.0,85000.0,85000.0,122500.0,230000.0,
Tennessee Association of Utility Districts,1532500.0,960000.0,460000.0,140000.0,122500.0,122500.0,122500.0,90000.0,90000.0,90000.0,90000.0,90000.0,140000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,140000.0,140000.0,
Ryman Hospitality,1527500.0,1267500.0,640000.0,160000.0,0.0,0.0,0.0,0.0,65000.0,45000.0,65000.0,85000.0,102500.0,45000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,
Tennessee Malt Beverage Association,1522500.0,790000.0,332500.0,85000.0,85000.0,85000.0,110000.0,97500.0,155000.0,97500.0,187500.0,85000.0,85000.0,85000.0,85000.0,85000.0,117500.0,77500.0,85000.0,85000.0,85000.0,
Allergy Associates,1515000.0,1380000.0,740000.0,160000.0,0.0,0.0,0.0,0.0,0.0,45000.0,45000.0,45000.0,45000.0,160000.0,102500.0,172500.0,160000.0,210000.0,210000.0,160000.0,160000.0,
Planned Parenthood,1507500.0,492500.0,85000.0,52500.0,97500.0,105000.0,85000.0,65000.0,122500.0,537500.0,102500.0,102500.0,102500.0,45000.0,122500.0,52500.0,85000.0,32500.0,0.0,0.0,52500.0,
SAS Institute,1492500.0,765000.0,340000.0,85000.0,0.0,0.0,65000.0,122500.0,172500.0,160000.0,122500.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,
Tennessee Forestry Association,1487500.0,1157500.0,320000.0,110000.0,45000.0,45000.0,65000.0,85000.0,45000.0,45000.0,45000.0,45000.0,45000.0,165000.0,165000.0,285000.0,177500.0,70000.0,70000.0,70000.0,110000.0,
Tennessee Farmers Insurance,1485000.0,865000.0,352500.0,85000.0,65000.0,70000.0,110000.0,90000.0,110000.0,90000.0,110000.0,110000.0,110000.0,110000.0,110000.0,97500.0,85000.0,85000.0,97500.0,85000.0,85000.0,
