entity_name,website,lob_total_15yr,lob_total_10yr,lob_total_5yr,lob_total_2025,has_lobbying,donor_type,cf_politician_reference,cf_total_15yr,cf_total_10yr,cf_total_5yr,cf_total_2025,has_cf,ie_politician_reference,ie_total_15yr,ie_total_10yr,ie_total_5yr,ie_total_2025,has_ie,grand_total_15yr,grand_total_10yr,grand_total_5yr,grand_total_2025,qualifies_15yr,qualifies_10yr,qualifies_5yr,qualifies_2025
Tennessee Rural Cooperative Communications Association,,2102500.0,1650000.0,1112500.0,272500.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,2102500.0,1650000.0,1112500.0,272500.0,True,True,True,True
Tennessee County Highway Officials Association,,2100000.0,1500000.0,750000.0,150000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,2100000.0,1500000.0,750000.0,150000.0,True,True,True,True
Tennessee Titans,,2022500.0,1687500.0,927500.0,260000.0,True,Company,0,75500.0,75500.0,75500.0,21000.0,True,0.0,0.0,0.0,0.0,0.0,False,2098000.0,1763000.0,1003000.0,281000.0,True,True,True,True
Concentra Health Services,,2090000.0,1562500.0,800000.0,160000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,2090000.0,1562500.0,800000.0,160000.0,True,True,True,True
Tennessee Association Of Nurse Anesthetists,,1447500.0,1082500.0,607500.0,230000.0,True,Company,0,635750.0,499000.0,247750.0,45000.0,True,0.0,0.0,0.0,0.0,0.0,False,2083250.0,1581500.0,855250.0,275000.0,True,True,True,True
Planned Parenthood,,1422500.0,595000.0,170000.0,52500.0,True,Company,0,18750.0,18750.0,15750.0,0.0,True,0.0,627467.86,627467.86,487941.4,0.0,True,2068717.86,1241217.86,673691.4,52500.0,True,True,True,True
Tennessee Press Association,,2035000.0,1267500.0,542500.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,2035000.0,1267500.0,542500.0,85000.0,True,True,True,True
Coalition Of Large School Systems,,2022500.0,1382500.0,382500.0,45000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,2022500.0,1382500.0,382500.0,45000.0,True,True,True,False
Tennessee Cash Advance Association,,2012500.0,1315000.0,427500.0,0.0,True,Company,0,8451.29,8451.29,3500.0,3500.0,True,0.0,0.0,0.0,0.0,0.0,False,2020951.29,1323451.29,431000.0,3500.0,True,True,True,False
Associated Builders & Contractors (All Tennessee Chapters),,1680000.0,1360000.0,1067500.0,325000.0,True,Company,0,327350.0,218350.0,48500.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,2007350.0,1578350.0,1116000.0,325000.0,True,True,True,True
Cigna - Express Scripts,,1985000.0,1207500.0,405000.0,85000.0,True,Company,0,1500.0,1500.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1986500.0,1209000.0,405000.0,85000.0,True,True,True,True
Pfizer,,1610000.0,1215000.0,462500.0,85000.0,True,Company,0,348300.0,348300.0,172300.0,21300.0,True,0.0,0.0,0.0,0.0,0.0,False,1958300.0,1563300.0,634800.0,106300.0,True,True,True,True
American Heart Association,,1947500.0,1360000.0,747500.0,160000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1947500.0,1360000.0,747500.0,160000.0,True,True,True,True
Tennessee Public And Teaching Hospital Association,,1902500.0,1250000.0,650000.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1902500.0,1250000.0,650000.0,85000.0,True,True,True,True
Centene - Wellcare,,1870000.0,1747500.0,1412500.0,260000.0,True,Company,0,10400.0,10400.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1880400.0,1757900.0,1412500.0,260000.0,True,True,True,True
Independent Insurance Agents Of Tennessee,,1020000.0,797500.0,425000.0,85000.0,True,Company,0,857436.0,657100.0,371000.0,89000.0,True,0.0,1033.85,0.0,0.0,0.0,True,1878469.85,1454600.0,796000.0,174000.0,True,True,True,True
