company_name,total_all,total_since_2016,total_since_2021,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,PAC Address,Links
Permobil,1590000.0,1588000.0,1008000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,252000.0,252000.0,252000.0,252000.0,302000.0,202000.0,0.0,,
AARP,1587000.0,1157000.0,106000.0,70000.0,4000.0,77000.0,77000.0,202000.0,202000.0,202000.0,285000.0,194500.0,167500.0,4000.0,4000.0,20500.0,20500.0,57000.0,,
Tennessee Distillers Guild,1570500.0,1474000.0,946500.0,0.0,0.0,0.0,2000.0,94500.0,77000.0,77000.0,164500.0,94500.0,114500.0,114500.0,152000.0,152000.0,152000.0,376000.0,,
University of Tennessee Battelle,1565000.0,1107500.0,385000.0,37000.0,77000.0,114500.0,77000.0,152000.0,152000.0,152000.0,152000.0,152000.0,114500.0,77000.0,77000.0,77000.0,77000.0,77000.0,,
Tennessee Association of Assessing officers,1563500.0,1107500.0,385000.0,0.0,0.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,114500.0,77000.0,77000.0,77000.0,77000.0,77000.0,,
Tennessee Credit Union League,1561000.0,861000.0,458500.0,147500.0,147500.0,70000.0,110000.0,225000.0,57000.0,77000.0,77000.0,114500.0,77000.0,114500.0,40500.0,114500.0,94500.0,94500.0,,
Associated Builders & Contractors (All Tennessee Chapters),1549000.0,1184000.0,979500.0,77000.0,77000.0,77000.0,77000.0,57000.0,37000.0,4000.0,4000.0,41000.0,118500.0,61000.0,181500.0,189000.0,239000.0,309000.0,,
Delta Dental,1540000.0,1520000.0,760000.0,4000.0,4000.0,4000.0,4000.0,4000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,,
Allergen,1533500.0,1353000.0,860000.0,94500.0,4000.0,4000.0,41000.0,37000.0,37000.0,37000.0,154000.0,98500.0,166500.0,152000.0,202000.0,202000.0,152000.0,152000.0,,
Tennesseans for Student Success,1529000.0,1332500.0,760000.0,0.0,0.0,0.0,2000.0,194500.0,77000.0,77000.0,114500.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,P.O. BOX 680231,
Tennessee Association of Professional Bail Agents,1528000.0,919000.0,496500.0,114500.0,114500.0,188500.0,77000.0,114500.0,114500.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,188500.0,,
Tennessee Group Practice Coalition,1492500.0,807500.0,422500.0,152000.0,152000.0,114500.0,152000.0,114500.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,114500.0,,
K12 Inc,1490000.0,1032500.0,572500.0,94500.0,77000.0,114500.0,77000.0,94500.0,114500.0,114500.0,77000.0,77000.0,77000.0,77000.0,77000.0,152000.0,152000.0,114500.0,P.O. BOX 198136,
Tennessee Association of Nurse Anesthetists,1457000.0,1022500.0,571500.0,93500.0,113500.0,77000.0,57000.0,93500.0,93500.0,93500.0,93500.0,93500.0,77000.0,77000.0,77000.0,77000.0,114500.0,226000.0,P.O. BOX 60128,
Anheuser-Busch,1447500.0,845000.0,385000.0,152000.0,152000.0,77000.0,57000.0,164500.0,114500.0,114500.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,,
Tennessee Farmers Insurance,1445000.0,935000.0,401500.0,110000.0,90000.0,110000.0,90000.0,110000.0,110000.0,110000.0,110000.0,110000.0,93500.0,77000.0,77000.0,93500.0,77000.0,77000.0,,
Tennessee Malt Beverage Association,1438500.0,803000.0,418000.0,110000.0,93500.0,151000.0,93500.0,187500.0,77000.0,77000.0,77000.0,77000.0,77000.0,113500.0,73500.0,77000.0,77000.0,77000.0,,
Tennessee Forestry Association,1423500.0,1178500.0,497500.0,57000.0,77000.0,37000.0,37000.0,37000.0,37000.0,37000.0,161000.0,161000.0,285000.0,177500.0,70000.0,70000.0,70000.0,110000.0,,
Ryman Hospitality,1423500.0,1272500.0,760000.0,0.0,0.0,57000.0,37000.0,57000.0,77000.0,94500.0,37000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,ONE GAYLORD DRIVE,
CVS Health,1380000.0,995000.0,572500.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,114500.0,152000.0,114500.0,77000.0,114500.0,114500.0,,
Vanderbilt University Medical Center,1370000.0,1370000.0,665000.0,0.0,0.0,0.0,0.0,0.0,162500.0,300000.0,168500.0,37000.0,37000.0,57000.0,152000.0,152000.0,152000.0,152000.0,,
Total Wine & More,1370000.0,1370000.0,910000.0,0.0,0.0,0.0,0.0,0.0,114500.0,77000.0,114500.0,77000.0,77000.0,152000.0,152000.0,152000.0,252000.0,202000.0,,
Corizon Health,1359500.0,1265500.0,171500.0,0.0,0.0,37000.0,0.0,57000.0,93500.0,394500.0,414500.0,77000.0,114500.0,77000.0,94500.0,0.0,0.0,0.0,,
Tennessee Association of Utility Districts,1356500.0,930000.0,490000.0,114500.0,78000.0,78000.0,78000.0,78000.0,78000.0,128000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,128000.0,128000.0,840 COMMERCIAL COURT,
Energysolutions,1355000.0,370000.0,185000.0,252000.0,252000.0,252000.0,152000.0,77000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,37000.0,,
Tennessee Public Television Council,1342500.0,920000.0,535000.0,114500.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,152000.0,152000.0,,
Planned Parenthood,1331500.0,515000.0,138000.0,61000.0,41000.0,98500.0,525500.0,90500.0,90500.0,94500.0,37000.0,114500.0,40500.0,77000.0,20500.0,0.0,0.0,40500.0,,
Tennessee Nurses Association,1322500.0,860500.0,286000.0,77000.0,40500.0,78000.0,152000.0,114500.0,152000.0,152000.0,114500.0,152000.0,4000.0,4000.0,94500.0,93500.0,57000.0,37000.0,,
AIA Tennessee,1299000.0,936500.0,497500.0,94500.0,77000.0,37000.0,77000.0,77000.0,114500.0,93500.0,77000.0,77000.0,77000.0,77000.0,114500.0,114500.0,114500.0,77000.0,,
TSLMS,1289000.0,1250500.0,57000.0,0.0,0.0,38500.0,0.0,0.0,0.0,451000.0,77000.0,588500.0,77000.0,57000.0,0.0,0.0,0.0,0.0,,
Tennessee Installment Lenders Association,1284000.0,824000.0,385000.0,114500.0,114500.0,77000.0,77000.0,77000.0,114500.0,77000.0,77000.0,93500.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,P.O. BOX 190053,
